"Alt","WY","Q.S77","Q.S79","Q.C43","mean.stg","TPLoad.kg.fit","TPLoad.kg.95LCI","TPLoad.kg.95UCI","TNLoad.kg.fit","TNLoad.kg.95LCI","TNLoad.kg.95UCI"
"ABNE",1993,557860.697937275,1379194.57047248,821333.872535203,14.5485077806777,222952.268548238,199781.074294842,246123.462801635,2471759.55559328,2317747.71837406,2625771.3928125
"ABNE",1994,308887.788238234,896657.114433916,587769.326195682,14.4811233374734,156837.007830963,126325.281890951,187348.733770975,1718654.23010719,1515852.12515907,1921456.33505531
"ABNE",1995,1190107.6043344,2190623.32022019,1000515.71588579,16.0297478871544,299702.688758215,266476.262863293,332929.114653136,3776532.83247621,3555686.94769602,3997378.7172564
"ABNE",1996,1784649.0605039,3257032.93787126,1472383.87736736,16.2742722179675,440122.052828579,381863.479393304,498380.626263855,5444940.30112673,5057713.39212862,5832167.21012484
"ABNE",1997,405868.73719413,1042329.34105589,636460.603861756,14.8521182432086,171657.499953538,139929.370824367,203385.629082708,1954316.08134088,1743428.91664518,2165203.24603658
"ABNE",1998,1218428.47257159,2759388.08802553,1540959.61545394,15.1804243474245,414456.226126613,342402.304541932,486510.147711293,4632606.08762567,4153685.72121083,5111526.4540405
"ABNE",1999,504974.265644098,1198401.071874,693426.806229904,15.761541829191,184136.719392969,142503.156757792,225770.282028145,2217234.42476924,1940508.87487726,2493959.97466121
"ABNE",2000,664321.818494728,1856713.68363788,1192391.86514316,14.9310479767528,301615.291800662,254979.582370566,348251.001230757,3217126.54586651,2907153.25701466,3527099.83471837
"ABNE",2001,177832.390972787,541174.461747339,363342.070774552,11.7656482290645,122767.086480784,91241.2527640614,154292.920197506,1110787.63411124,901245.065114471,1320330.20310801
"ABNE",2002,293266.513949079,768225.677030341,474959.163081263,11.4732472371084,156561.050044279,119775.866030926,193346.234057631,1458325.72396356,1213825.86304193,1702825.58488518
"ABNE",2003,423513.62527401,1046461.86026393,622948.234989919,13.0191832970162,184585.680957554,161674.719907353,207496.642007755,1923323.97490146,1771041.82814581,2075606.12165711
"ABNE",2004,532556.72948595,1272989.40883446,740432.679348508,14.3609454990181,206426.841156473,184864.300266084,227989.382046862,2303774.06612153,2160454.4555168,2447093.67672626
"ABNE",2005,697940.640944342,1410834.75116881,712894.110224471,13.8386835372561,218925.422248567,198036.102072053,239814.742425081,2512006.88894393,2373161.97040143,2650851.80748644
"ABNE",2006,1641002.92649636,2831814.22572052,1190811.29922416,16.2083082063631,373430.65020736,330109.180092684,416752.120322037,4784664.5391426,4496719.98477761,5072609.09350758
"ABNE",2007,267662.576402411,840232.030988505,572569.454586093,12.3137898556846,167066.643045178,137969.943603428,196163.342486928,1585085.71125451,1391688.85440573,1778482.56810328
"ABNE",2008,36467.7407941164,311250.224654418,274782.483860302,9.72986104076768,109215.649650993,53936.876107723,164494.423194263,709185.980383667,341764.889372094,1076607.07139524
"ABNE",2009,420593.13666598,1083785.27608979,663192.139423807,12.6429626621748,195115.36374619,166333.149059027,223897.578433353,1972609.63209949,1781303.05917401,2163916.20502496
"ABNE",2010,267566.046730192,1269689.52110759,1002123.4743774,12.8822921403132,246815.764471647,190417.512022033,303214.01692126,2255665.7202052,1880803.79549258,2630527.64491782
"ABNE",2011,418112.726021211,844530.753794163,426418.027772952,13.4649564568992,142214.141158696,112451.529964819,171976.752352573,1622605.86658316,1424782.89810416,1820428.83506215
"ABNE",2012,311828.823511557,842296.354766777,530467.53125522,11.5197504693953,168632.276407799,130315.450850255,206949.101965344,1573771.53799779,1319091.32445374,1828451.75154184
"ABNE",2013,496219.684393673,885087.096328828,388867.411935155,12.6494114572401,147684.238197499,117077.640389516,178290.836005481,1671459.51475623,1468026.82553495,1874892.20397751
"ABNE",2014,427116.250232374,1473185.66941467,1046069.4191823,14.6517370292188,255203.394213016,214643.341544714,295763.446881318,2612027.76333822,2342437.50567432,2881618.02100211
"ABNE",2015,591598.359523503,1103458.83991611,511860.480392603,14.8463835065904,162881.749117378,122721.556942817,203041.94129194,2056565.62924436,1789633.12191473,2323498.13657399
"ABNE",2016,456581.711484392,1375896.74994989,919315.038465497,14.8608711343394,231242.523686314,200805.662069149,261679.385303479,2468511.76575087,2266207.2610463,2670816.27045543
"ECRE",1966,406544.836939599,1220846.21309759,814301.376157993,13.0440918450699,220447.155494073,186032.30669887,254862.004289275,2190547.79727894,1961802.82916864,2419292.76538924
"ECRE",1967,605725.345903879,1452847.61528596,847122.269382083,14.5581303694357,231944.941062547,208635.749527856,255254.132597238,2587154.18570544,2432225.12278819,2742083.2486227
"ECRE",1968,240454.273137966,790721.930681737,550267.657543771,11.8378467859172,164075.666650175,129591.357044219,198559.976256131,1497975.62634935,1268768.97348678,1727182.27921193
"ECRE",1969,449318.291510953,1225283.12563347,775964.834122515,14.1055565816796,208365.701948119,185388.811705672,231342.592190566,2221426.40180222,2068706.04388175,2374146.7597227
