"Alt","freqLow","freqHigh"
"LSM25B",22.1764705882353,0.745098039215686
"LSMECB",21.1372549019608,1.07843137254902
"ABNE",25.1176470588235,10.8627450980392
"ECRE",27.7843137254902,1.17647058823529
"ELOK",22.1372549019608,0
"ESFL",12.9803921568627,18.9803921568627
"ESLE",23.6666666666667,4.15686274509804
"WAS",1.05882352941176,9.01960784313725
"WRDC",14.078431372549,11.4117647058824
"WRDS",18.6862745098039,6.15686274509804
"NAV",0.96078431372549,14.4705882352941
"REC",21.8039215686275,0.235294117647059
"SPAS",31.8235294117647,0.725490196078431
"SPEF",17.5490196078431,2.37254901960784
"SPLC",7.64705882352941,1.25490196078431
